RECORDID,DAM_NAME,OTHER_DAM_NAME,DAM_FORMER_NAME,STATEID,NIDID,LONGITUDE,LATITUDE,SECTION,COUNTY,RIVER,CITY,DISTANCE,OWNER_NAME,OWNER_TYPE,DAM_DESIGNER,PRIVATE_DAM,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPLETED,YEAR_MODIFIED,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL_HEIGHT,HYDRAULIC_HEIGHT,NID_HEIGHT,MAX_DISCHARGE,MAX_STORAGE,NORMAL_STORAGE,NID_STORAGE,SURFACE_AREA,DRAINAGE_AREA,HAZARD,EAP,INSPECTION_DATE,INSPECTION_FREQUENCY,STATE_REG_DAM,STATE_REG_AGENCY,SPILLWAY_TYPE,SPILLWAY_WIDTH,OUTLET_GATES,VOLUME,NUMBER_OF_LOCKS,LENGTH_OF_LOCKS,WIDTH_OF_LOCKS,FED_FUNDING,FED_DESIGN,FED_CONSTRUCTION,FED_REGULATORY,FED_INSPECTION,FED_OPERATION,FED_OWNER,FED_OTHER,SOURCE_AGENCY,STATE,SUBMIT_DATE,URL_ADDRESS,CONG_NAME,PARTY,CONG_DIST,OTHERSTRUCTUREID,NUMSEPARATESTRUCTURES,PERMITTINGAUTHORITY,INSPECTIONAUTHORITY,ENFORCEMENTAUTHORITY,JURISDICTIONALDAM,EAP_LAST_REV_DATE
8827,NORALYN N-11B,N-11B,NA,NA,FL00662,-81.860001,27.809999,"S1, T31S, R24E",POLK,CAMP CREEK,BARTOW,5,MOSAIC IMC AGRICO COMPANY,P,NA,N,RE,NA,NA,T,1964,NA,4500,14,9,14,14,140,1700,200,1700,121,NA,S,N,NA,0,Y,NA,NA,0,NA,1700,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,FL,FL,3-Aug-18,NA,W. Gregory Steube (R),R,FL17,NA,0,Y,Y,Y,Y,NA
18856,DAKINS LAKE DAM,NA,NA,NA,IA04230,-93.2929,42.1678,",SE,S16,T085N,R21W",STORY,TR-MINERVA CREEK,ZEARING,1,STORY CO CONSERVATION BOARD,L,SHIVE HATTERY,N,RE,HZ,SZ,R,2014,NA,1600,39.5,NA,NA,39.5,NA,406,238,406,12,1.4,S,NR,NA,5,Y,IOWA DNR,U,40,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,IA,IA,26-Jul-18,NA,Steve King (R),R,IA04,NA,0,Y,Y,Y,Y,NA
32375,PERRIN DAM NO  2,NA,NA,NA,MI00027,-84.953,42.262,NA,CLHOUN,KALAMAZOO RIVER,MARSHALL,0,"MARSHALL, CITY OF",L,NA,N,MS,NA,NA,H,1893,NA,90,12,NA,NA,12,4200,1775,1775,1775,130,352,S,Y,8/23/17,1,N,NA,NA,0,NA,0,0,0,0,NA,NA,NA,FERC,FERC,NA,NA,NA,FERC,MI,5-Aug-18,NA,Justin Amash (R),R,MI03,S001,2,N,N,N,N,16-Dec-99
26537,FRD NO 27,SALT CREEK WS JOINT DISTRICT NO 46,0,NA,KS04665,-98.13896434,39.21609106,"6,10S, 7W",LINCOLN,RATTLESNAKE CREEK-TR,BARNARD,NA,SALT CREEK WJD NO 46,L,USDA NRCS,N,RE,X,U,C,1977,NA,1330,28,NA,NA,28,NA,354.03,44,354.03,12.45,0.98,L,NR,NA,0,Y,KS DEPT. OF AGRICULTURE,U,40,X,55300,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,KS,KS,2-Jul-18,NA,Roger W. Marshall (R),R,KS01,NA,0,Y,Y,Y,Y,NA
58319,KINNEY DAM,LOWER NORTH DOMINGO BACA DAM,NA,NA,NM00612,-106.56763,35.1786,NW 1/4 SW 1/4 S18 T11N R4E,BERNALILLO,NORTH DOMINGO BACA ARROYO,ALBUQUERQUE,0,ALBUQUERQUE METRO ARROYO FLOOD CONTROL AUTHORITY,L,"RESOURCE TECHNOLOGY, INC.",N,RE,H,S,C,1995,NA,1900,23,NA,NA,23,30019,200,0,200,8.9,4.26,H,N,6/14/13,5,Y,OFFICE OF THE STATE ENGINEER,U,442,UNCONTROLLED,100000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NM,NM,19-Jul-18,NA,Debra A. Haaland (D),D,NM01,NA,0,Y,Y,Y,Y,NA
57825,MERRILL CREEK MAIN DAM,NA,NA,NA,NJ00864,-75.1029,40.72715,HARMONY TOWNSHIP,WARREN,MERRILL CREEK,NA,0,MERRILL CREEK OWNERS GROUP,P,NA,NA,PGRE,NA,NA,O,1988,NA,1140,280,NA,NA,280,3,NA,46000,46000,690,2,H,Y,6/14/17,0,Y,NJDEP,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NJ,NJ,15-May-18,NA,Tom Malinowski (D),D,NJ07,NA,0,Y,Y,Y,Y,21-Mar-17
48638,MEDICINE LAKE DAM NO. 12,NA,NA,NA,MT03099,-104.25,48.51777649,"S13,T32N,R57E",SHERIDAN,LAKE CREEK,NA,0,US FISH AND WILDLIFE SERVICE,F,BUREAU OF BIOLOGICAL SURVEY,N,RE,HXZ,SZ,F,1935,NA,300,9.600000381,9.600000381,9.600000381,9.6000003800000009,2922,2210,400,2210,362,486,L,NR,10/3/16,6,N,NA,CU,165,O;S,3870,0,0,0,DOI FWS,DOI FWS,DOI FWS,DOI FWS,DOI FWS,DOI FWS,DOI FWS,DOI FWS,DOI FWS,MT,29-Jun-18,NA,Greg Gianforte (R),R,MT00,NA,0,N,N,N,N,NA
61153,HAYES LAKE DAM,NA,NA,NA,OH00351,-81.73444444,41.27805556,NA,CUYAHOGA,TRIBUTARY TO EAST BRANCH ROCKY RIVER,NORTH ROYALTON,1.5,JOSEPH BLISS,P,SCS/OWNER,NA,RE,NA,NA,R,1968,NA,1200,44.7,NA,NA,44.7,450,93.8,60.4,93.8,5.7,0.22,S,N,8/28/14,5,Y,DEPARTMENT OF NATURAL RESOURCES,NA,0,NA,124325,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,OH,OH,3-Jul-18,NA,Anthony Gonzalez (R),R,OH16,NA,0,Y,Y,Y,Y,NA
55556,WOLBACH FOODS LAGOON 2-3 DAM,NA,NA,NA,NE02502,-98.47767877,41.40486714,NWS33T17R10W,GREELEY,TR-SPRING CREEK,CUSHING,7,GGP LLC,P,GEOTECHNICAL SERVICES INC,N,RE,HEK,SK,O,1998,NA,850,52,52,51,52,NA,204,193,204,9,NA,L,NR,4/1/15,5,Y,NE DNR,NA,0,NA,99931,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,27-Jul-18,NA,Adrian Smith (R),R,NE03,NA,0,Y,Y,Y,Y,NA
60864,DILLON DAM,DILLON LAKE,NA,NA,OH00007,-82.080002,39.991669,N/A,MUSKINGUM,LICKING RIVER,ZANESVILLE,3,CELRH,F,CELRH,N,RE,EIK,SK,CRF,1960,NA,1400,NA,118,90,118,89700,274000,17500,274000,1560,742,H,Y,9/19/14,5,N,NA,U,292,"SLIDE/SLUICEGATE, VALVE",1670900,0,0,0,CE,CE,CE,CE,CE,CE,CE,CE,CE,OH,30-Sep-18,NA,Troy Balderson (R),R,OH12,NA,2,N,N,N,N,30-Jan-18
24514,NA,KSNONAME 2606,NA,NA,KS02606,-101.721826,38.83653897,"13,14S, 40W",WALLACE,NORTH FORK ROSE CREEK,RUSSELL SPRINGS,NA,GRAND VIEW FARMS CO,P,USDA NRCS,N,RE,X,U,P,1960,NA,692,21,NA,NA,21,NA,223,94,223,NA,3.011,L,NR,NA,0,Y,KS DEPT. OF AGRICULTURE,U,104,X,15653,0,0,0,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,KS,KS,2-Jul-18,NA,Roger W. Marshall (R),R,KS01,NA,0,Y,Y,Y,Y,NA
57515,BETHEL LAKE DAM,NA,NA,NA,NJ00406,-75.11748333,39.75471667,WASHINGTON TOWNSHIP,GLOUCESTER,MANTUA CREEK,SEWELL,0,COUNTY OF GLOUCESTER,L,NA,NA,PGRE,NA,NA,R,1942,NA,175,16.4,NA,NA,16.4,821,126,67,126,12,8,S,Y,3/28/16,0,Y,NJDEP,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NJ,NJ,15-May-18,NA,Donald Norcross (D),D,NJ01,NA,0,Y,Y,Y,Y,28-Jan-13
8388,BARRON DAM,NA,NA,NA,FL00085,-85.75,30.75,S16 T4N R15W,WASHINGTON,TR-DRAM BRANCH,CARYVILLE,NA,DEMPSEY BARRON,P,USDA NRCS,N,RE,HEK,SK,FPR,1966,1988,500,20,NA,NA,20,1800,330,231,330,17,0.46,L,NR,5/19/94,0,Y,NWFWMD,U,75,U,31111,0,0,0,NA,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,FL,FL,3-Aug-18,NA,Neil P. Dunn (R),R,FL02,NA,0,Y,Y,Y,Y,NA
16562,DAVIS SUBWATERSHED 19-2044,DAVIS SWS 19-2044,0,NA,IA01784,-95.9756012,42.23709869,",,S28,T086N,R44W",WOODBURY,TR-COTTONWOOD HOLLOW,TURIN,NA,WOODBURY CO SWCD,L,USDA NRCS,N,RE,HZ,SZ,PC,1958,NA,500,52,NA,NA,52,NA,38,11,38,1.3,0.18,L,NR,NA,0,Y,IOWA DNR,U,0,U,23958,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,IA,IA,26-Jul-18,NA,Steve King (R),R,IA04,NA,0,Y,Y,Y,Y,NA
44776,MS05782 LAKE DAM,NA,NA,NA,MS05782,-90.54747,32.42181,30,HINDS,NA,NA,0,NA,P,NA,N,RE,X,NA,R,NA,NA,NA,28,NA,NA,28,NA,346,253,346,18,NA,L,NR,NA,0,Y,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,U,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MS,MS,3-Aug-18,NA,Bennie G. Thompson (D),D,MS02,NA,0,Y,Y,Y,Y,NA
66914,OKNONAME 30234,NA,NA,NA,OK30234,-95.82222552,33.89867443,34,CHOCTAW,NA,BOSWELL,NA,CARL & TONYA CHANDLER,P,USDA NRCS,N,RE,XEK,RSK,O,2008,NA,461,23.7,27.7,21.7,27.7,31.4,123.88,56.48,123.88,10.38,0.273,L,NR,7/31/08,5,Y,OWRB,C,1,V: 1;,0,0,0,0,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,OK,OK,22-Jun-18,NA,Markwayne Mullin (R),R,OK02,NA,0,Y,Y,Y,Y,NA
87208,BLACK POND,NA,NA,NA,VT00174,-72.75172424,43.54964828,NA,WINDSOR,BLACK RIVER,PLYMOUTH,0,THE BLACK POND TRUST,P,NA,N,RE,IEK,SK,R,1897,NA,284,7,7,7,7,NA,105,0,105,30,0.509,L,NR,7/27/15,10,Y,DEC,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,VT,VT,17-Aug-18,NA,Peter Welch (D),D,VT00,NA,0,Y,Y,Y,Y,NA
43938,MS04623 LAKE DAM,NA,NA,NA,MS04623,-90.1965,32.9398,28,YAZOO,NA,NA,0,NA,P,NA,N,RE,X,NA,R,NA,NA,NA,18,NA,NA,18,NA,88,68,88,8,NA,L,NR,NA,0,Y,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,U,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MS,MS,3-Aug-18,NA,Bennie G. Thompson (D),D,MS02,NA,0,Y,Y,Y,Y,NA
33575,MAYHEW LAKE,NA,NA,NA,MN00241,-94.10057,45.69684,S17 T037N R30W,BENTON,MAYHEW CREEK,BECKER,50,MNDNR,S,MNDNR-DOW,N,PGRE,X,U,O,1949,NA,18,8,9,5,9,675,3100,2540,3100,128,28,L,NR,11/7/17,8,Y,MNDNR EWR,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MN,MN,29-Jun-18,NA,Tom Emmer (R),R,MN06,NA,0,Y,Y,Y,Y,NA
50239,WATERS MILLPOND DAM,NA,NA,NA,NC00950,-77.76,35.306,NA,LENOIR,MOSELEY CREEK - TR,KINSTON,11,"DARRELL HOUSE,PRES., CLARENDON POND OF MOSELEY",P,NA,NA,RE,NA,NA,R,1855,NA,400,NA,15,13,15,198,200,166,200,30,1.8,S,N,5/6/08,0,N,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NC,NC,2-Aug-18,NA,Walter B. Jones (R),R,NC03,NA,0,N,N,N,N,NA
