BARDID,Year,USCGadded,NumberDeaths,NumberInjured,MeetsInjuryThreshold,MeetsDamageThreshold,NumberVesselsInvolved,NumberVesselsLost,TotalDamage,Date,Time,State,Location,NameOfBodyOfWater,NearestCityTown,County,Clear,Cloudy,Fog,Rain,Snow,Hazy,WaterConditions,StrongCurrent,HazardousWaters,CongestedWaters,Wind,AirTemperature,WaterTemperature,DayNight,Visibility,DayofWeek,AccidentCause1,AccidentCause2,AccidentCause3,OtherAccidentCause,MachineryFailure,EquipmentFailure,AccidentEvent1,AccidentEvent2,AccidentEvent3,OtherAccidentEvent,RedactedNarrative,StateCaseID,Latitude,Longitude,CoordinatesConfidence
TX-2017-0050,2017,NA,1,0,0,0,1,0,0,4/21/2017 0:00:00,12/30/1899 15:15:00,TX,NA,0301 LEWISVILLE,HICKORY CREEK,061 DENTON,-1,0,0,0,0,0,Choppy,NA,NA,NA,Moderate,84,79,-1,Good,Friday,Force of wake/wave,NA,NA,NA,NA,NA,Person ejected from vessel,NA,NA,NA,"The victim was a larger individual who was seated towards the bow of the vessel and was constantly shifting from one side of the vessel to the other. The operator asked him stay still, as he was rocking the boat, when they were struck in the side of the vessel by a wave which caused both passengers to be thrown overboard. The operator was wearing a pfd and was unharmed, the passenger was not wearing a pfd and drowned.",WFR 2017-TX-0025,33.09,-96.98,C
FL-2017-0540,2017,NA,0,1,-1,-1,2,0,6000,7/15/2017 0:00:00,12/30/1899 16:30:00,FL,ST JOHNS RIVER AND MULLET LAKE,ST. JOHNS RIVER AND MULLET LAK,UNINCORPORATED,SEMINOLE,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,90,85,-1,Good,Saturday,Navigation rules violation,NA,NA,NA,NA,NA,Collision with recreational vessel,Person ejected from vessel,Person struck by propeller,NA,"On July 15, 2017 at approximately 1430hrs, an accident involving two vessels occurred near the mouth of Mullet Lake on the St. Johns River in Seminole County, FL.  Vessel 1 (V-1), a 2000 10’ Yamaha PWC (Personal Water Craft), was on plane traveling in a southerly direction on the St. Johns River.  

Vessel 2 (V-2), a 2001 20’ Gambler bass boat, was on plane traveling west on Mullet Lake toward the St. Johns River.  

V-2 approached the St. Johns River, and V-1 entered Mullet Lake (both V-1 and V-2 had an obstructed vision of each other).   

V-1 struck the starboard bow portion of V-2.  Operator1 was ejected and sustained a hematoma with a 2” laceration to the left side of her face and several deep lacerations to the lower interior portion of her right leg. She was transported to Central Florida Regional Hospital in Sanford, FL. According to witnesses, she was ejected from V-1 and traveled underneath V-2 and came out from underneath the stern.  The deep lacerations on her right leg are consistent with prop cuts.

",FWNE17OFF009595,NA,NA,NA
WA-2017-0027,2017,NA,0,0,0,-1,2,0,5000,5/31/2017 0:00:00,NA,WA,Stimson Marina,Ship Canal,Ballard,King,NA,NA,NA,NA,NA,NA,Unknown,N,N,Y,Unknown,NA,NA,NA,Unknown,Wednesday,Operator inexperience,NA,NA,NA,NA,NA,Collision with recreational vessel,NA,NA,NA,"Vessel #1 (V1) – Unknown – No BAR submitted
Vessel #2 (V2) – 1946, 52’ Palmer Scott Auxiliary Sailboat – No Engine or Propulsion

On or about 05/31/2017, time unknown, V2 was tied to dock/mooring in Ship Canal at the Stimson Marina located near Ballard, WA in King county.  
 
Subject reported that on this date, V1 was apparently leaving the dock and then collided with his boat’s (V2) transom.
 
Subject further stated that “I firmly believe that the boat that hit my boat was our neighbor.  The boat is named “Serenity” and the new owner is xxx.”
 
Responding Police Report:  2017-208313
 
0 Injuries / 0 Fatalities
Alcohol or drug involvement is unknown
V2 – Damage Estimated at $5,000
V2 – PFD Wear N/A (No one on board at time of incident) 
V2 - Mandatory Boater Education Card N/A (No one on board at time of incident)
",NA,NA,NA,NA
UT-2017-0044,2017,NA,0,0,0,-1,1,0,2000,9/9/2017 0:00:00,12/30/1899 15:18:00,UT,North end,Willard Bay,Willard,Box Elder,0,-1,0,0,0,0,Rough,N,Y,N,Moderate,73,70,-1,Fair,Saturday,Weather,Operator inattention,NA,NA,NA,NA,Grounding,NA,NA,NA,"I received a call from dispatch regarding a sailboat that had hit the rocks with no injuries.  I called subject and talked with him and he said that they were sailing and the wind came up and was pushing them towards the north end rocks/dike.  SUBJECT said that their backup motor ran out of gas and they were not able to keep off the rocks. 

I responded and found SUBJECT on the boat and SUBJECT2 on the dike.  The stern of the boat was up to the rocks with the bow facing out at a slight angle.  I told SUBJECT that I would throw him a rope and that I wanted him to hook it on the eye of the vessel.  He started to try and throw me their type IV PFD and I told him to put that down and that I would throw him a rope.  SUBJECT was able to get the rope hooked to the eye of the vessel and I pulled the boat off the rocks and into the North Marina.  I told SUBJECT2 that she would be picked up from land and she began walking East on the dike.  I got the boat to the north marina boat ramp and tied it off to the docks leaving SUBJECT with the boat.  I then went and picked up SUBJECT2 and gave her a ride back to get their truck.  I then followed up at the boat ramp and got the registration and insurance information from them.
",R949761,NA,NA,NA
FL-2017-0539,2017,NA,0,0,0,-1,2,0,2000,10/8/2017 0:00:00,12/30/1899 14:05:00,FL,TWO GEORGES,ICW,BOYNTON BEACH,PALM BEACH,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,87,75,-1,Good,Sunday,Operator inattention,NA,NA,NA,NA,NA,Collision with recreational vessel,NA,NA,NA,"On 10/8/17 at approximately 1405 Hours, V1 (an unknown vessel with the given description of a white 36' center console vessel) struck a moored vessel identified as V2 (FL 3435 RA, 23' 2016 Key West center console vessel). V2 was moored at the waterfront restaurant known as Two Georges along the ICW just north of the Ocean Ave drawbridge. Witness statements claim the operator of V1 was attempting to maneuver near the docks when he suddenly accelerated forward and struck the cowling on the outboard motor of V2. After striking V2, the operator of V1 described as a bald white male in his mid 40's with tattoos on both arms, accompanied by a blonde white female as an occupant, fled the scene north along the ICW and then east offshore through the Boynton Beach Inlet. Camera footage from the bridge, restaurant, and the inlet were unable to identify V1. Damage to V2 is estimated at $2,000.00",FWSA17OFF009050,NA,NA,NA
NC-2017-0050,2017,NA,0,0,0,-1,1,0,7200,6/16/2017 0:00:00,12/30/1899 23:48:00,NC,Down stream from Beattys Ford Access Area,Lake Norman,Denver,Lincoln,0,-1,0,0,0,0,Calm,NA,NA,NA,Light,78,85,0,Fair,Friday,Restricted vision,Improper lookout,Operator inattention,NA,NA,NA,Collision with fixed object,NA,NA,NA,"On june 16, 2017 at approximately 11:48 pm, on lake norman near denver the weather was calm and cloudy with the air temperature approximately 78 degrees and water temperature approximately 85 degrees.

Operator was operating east southeast across lake norman nearly one mile south of beatty's ford access area towards a set of lights to fish near.  On board, operator had two passengers.  Both seated on the bench seat left of the operator's seat.  Operator was cruising at approximately 30 mph when he struck and glanced off a shoal marker pylon with his starboard bow.   The impact from the vessel caused the pylon to fall over damaging the light beacon on top of the pylon.   Operator continued on with the voyage. 

The impact caused $5,200.00 in damage to the vessel and approximately $2,000.00  in damages to the shoal marker pylon and light beacon. 

There were no injuries.

********************end of report*******************************
",916-001-061617,NA,NA,NA
FL-2017-0469,2017,NA,0,3,-1,-1,2,0,2000,7/9/2017 0:00:00,12/30/1899 23:00:00,FL,BRAMP MAYNARD MAY PARK,INDIAN RIVER,EDGEWATER,VOLUSIA,0,-1,0,0,0,0,Choppy,NA,NA,NA,Moderate,78,75,0,Good,Sunday,Improper lookout,Excessive speed,Navigation rules violation,NA,NA,NA,Collision with recreational vessel,Person struck by vessel,Fall in vessel,NA,"On July 9, 2017 at approximately 2300 hours a boating incident involving two vessels occurred near channel marker 57 on the ICW in Edgewater, within Volusia County. 
 
V1 (FL 5828 LF; 14 foot aluminum tiller vessel) occupied by two adult individuals.
V2 (FL 9916 JH; 17 foot aluminum side console) occupied by two adult individuals and one juvenile. 

V1 was cruising north on the east side of the ICW. V1 operator stated neither he or his brother(occupant) saw the other vessel. Occupant was seated on the bow seat,facing forward. V1 did not see V2 until directly before the collision.

V2 was cruising south on the west side of the ICW. V2 operator stated he was on the western shoreline and saw V1. V2 began to try to stay out of V1s operating course. V2 operator stated the victim/occupant had been seated on the bow deck facing towards the operator. The juvenile was seated next to the operator. 

Note: Operator stated he had turned on inside deck lights to help the victim see to tie fishing lines. 
Nav lights were operational and on in both vessels.   

The bow of V1 impacted V2 on its port bow. V1 went over V2 bow striking the victim in the back of the head. Victim was pushed onto the floor of V2 as V1 came across. V1 struck the steering console causing V2 operator to be ejected. 

At the time of the collision V2's trolling motor(mounted on bow/ see attached images) was not collapsed completely. V1 hit the trolling motor (damaging it), appearing to cause V1 to launch over V2 riding across V1 striking the steering console and damaging the rear all around white light. (see attached images) Both the operator and occupant of V1 were ejected. V1 continued on its path, throttle engaged operating in circles on the east side of the ICW. 

V2 operator made his way back to his vessel and re boarded. At this time he assisted both V1 occupants into his vessel. V1 occupant advised V2 operator he was a nurse and attempted to assess the injuries to all parties involved. At this time V2 adult occupant was unconscious. V2 operator notified emergency services and proceeded back to Kennedy Park Boat Ramp(located in Edgewater) to meet with EMS. 

V1 occupant/victim, was transported to Florida Hospital in New Smyrna Beach. V1 operator and his nephew(juvenile occupant) transported themselves after the situation had cleared. 

V1 sustained damage to the bow and port side keel.
V2 sustained damage to the port bow, bow mounted trolling motor, starboard steering console and starboard all around white light attachment. 

V2 operator stated he had seen V1 and attempted to steer out of its path.
V1 operator and occupant stated they did not see V2 until seconds before incident.

Due to the circumstances and results of this incident V1 was in violation of the following Inland Navigation Rules: 
1. Rule #7 Risk of Collision
2. Rule #6 Safe Speed
3. Rule #5 Look Out

V2 was in violation of the following Inland Navigational Rules:
1. Rule #6 Safe Speed
2. Rule #8 Action to Avoid Collision

Life jackets were not used. (proper amount available)

Operator2: Individual refused medical treatment while EMS was on scene. After incident had calmed down (operator) towed vessel to residence and transported himself to the hospital. Individual was advised by doctors he had sustained a severe contusion inside his shoulder. Operator2 was released. ; Victim3 on v2:Diagnosed with severe concussion. Treated and released from hospital. Victim2 on v2:Minor head injury. Examined and cleared at hospital.
",FWNE17OFF009306,NA,NA,NA
NH-2017-0007,2017,NA,0,0,0,-1,1,0,10870.06,7/3/2017 0:00:00,12/30/1899 16:30:00,NH,Shelter Cove,Lake Winnipesaukee,Moultonborough,Carroll,-1,0,0,0,0,0,Calm,N,N,N,None,80,65,-1,Good,Monday,Improper lookout,NA,NA,NA,NA,NA,Grounding,NA,NA,NA,"The operator, that was not familiar with the lake, was not paying close enough attention to the black top buoys in the area and found himself on the wrong side. He was cruising along at 5mph and his lower unit and prop hit rocks damaging the vessel. He was able to drive the vessel to a local marina for repairs.",2017-43772-AC,NA,NA,NA
SC-2017-0139,2017,NA,0,1,-1,-1,2,0,2000,8/27/2017 0:00:00,12/30/1899 17:05:00,SC,BIG M. CASINO DOCK,ICW,NA,HORRY,-1,0,0,0,0,0,Choppy,NA,NA,NA,Moderate,83,78,-1,Good,Sunday,Improper lookout,Operator inattention,NA,NA,NA,NA,Collision with recreational vessel,Fall in vessel,NA,NA,"UNIT 2 BEGAN TO SLOW DOWN. UNIT 1 WAS INATTENTIVE AND FAILED TO MAINTAIN A PROPER LOOK OUT. UNIT 1 COLLIDED WITH THE STERN AREA OF THE SKI AND DAMAGED THE SEAT ON UNIT 2. THE OPERATOR OF UNIT 2 AS A RESULT OF THE IMPACT, SUSTAINED INJURIES TO HIS RIBS AND LUNGS FROM THE STEERING AREA OF THE SKI.",17-08-1079,NA,NA,NA
FL-2017-0517,2017,NA,0,0,0,-1,1,0,2500,8/7/2017 0:00:00,12/30/1899 15:30:00,FL,BRAMP HERNANDO BEACH X2[PINE DALE CT],GULF OF MEXICO,SPRING HILL,HERNANDO,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,89,85,-1,Good,Monday,Alcohol use,NA,NA,NA,NA,NA,Flooding/swamping,Capsizing,Person ejected from vessel,NA,"Vessel one was making way south from Bayport towards Hernando Beach in The Gulf of Mexico. Vessel one experienced engine failure and a good samaritan took vessel one in tow. Vessel one regained power to the engine and released themselves from being towed. Vessel one began taking on water over the stern as it attempted to plane out. The operator of vessel one accelerated the vessel and turned the vessel sharply to the starboard side causing the vessel to capsize. The operator and five occupants were thrown into the water.

While speaking with subject and attempting to get information about the vessel accident  I observed signs of impairment and smelled a strong odor of alcohol on his breath. I then advised subject that I was stopping the vessel accident investigation and was now conducting a Driving Under the Influence investigation. After conducting field sobriety exercises, I placed subject under arrest for Driving Under the Influence. subject gave a breath sample at the jail which registered .222% and .220%.
",FWSW17OFF013725,NA,NA,NA
KS-2017-0030,2017,NA,0,0,0,-1,1,0,9800,9/4/2017 0:00:00,12/30/1899 16:30:00,KS,NE of sailboat cove,"El Dorado-3 miles E, 2 miles N",El Dorado,Butler,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,90,77,-1,Good,Monday,Missing/inadequate aids to navigation,NA,NA,NA,NA,NA,Collision with submerged object,Flooding/swamping,NA,NA,"In late October, I was made aware of a boat accident that occurred at El Dorado Reservoir through my supervisors via an email chain.  In the emails, Operator stated he had an accident of $9800 on Labor Day and was concerned about the safety of the lake due to the lack of bouys marking all the submerged trees.  I made contact with Operator by phone in early November and asked if we could meet to discuss the boating accident as a report needed to be made.  Operator advised he would be out of state for most of the month and would contact me when he returned.  Operator contacted me at the end of November and I advised I would contact him when I had time due to the deer season.  

On 12/16/17 I made contact with Operator by phone and set up a meeting time for 12/19/17 at 0900 hours.  I asked Operator if he had the boat or if it was in a shop.  Operator advised he had the boat back and repairs had been made through Shady Creek Marina and Midwest Boats.  I contacted Midwest boats and asked about the damage and was advised a 6 inch hole had punctured the bottom of the boat and there was 4 feet worth of damage around the hole which didn''t go through.  I was also told there was damage to the I/O unit and propeller and the total damages was $9800.  

On 12/19/17 at 0900 hours I made contact with Operator at his residence.  I asked Operator to describe the accident and was told the following.  Operator was on the boat with his wife and friends and had been tubing earlier in the day.  Operator decided to show his friends the rock quarry area and traveled to the north part of the lake.  Operator described a well known route to the rock quarry in which you need to drive through a channel of trees to the NE of sail boat cove.  

Operator stated he had watched 2 other boats go through the channel and thought he was following in the same path when he felt the boat strike something under the water.  Operator stated he was going around 20mph when he hit the object which he felt was a submerged tree.  Operator stated he continued to the rock quarry and shut off the engine of the boat and noticed a large amount of water going out the side of the boat through the bilge pump.  Operator then stated he lifted up the compartment for the water skis and saw it was full of water.  Operator then took the boat and returned under power to the boat ramp and took the boat off the water.  I collected the information for the report and talked to Operator about the requirements of a boat owner to report a boat accident when it occurs.  Operator was issued a written warning for failure to report a boat accident.
",20170440-085,NA,NA,NA
MO-2017-0030,2017,NA,0,1,-1,0,2,0,1200,6/9/2017 0:00:00,12/30/1899 19:00:00,MO,NA,TABLE ROCK LAKE,LAMPE,STONE,-1,0,0,0,0,0,Calm,N,N,N,Light,83,73,-1,Good,Friday,Improper lookout,Operator inattention,Navigation rules violation,NA,NA,NA,Collision with recreational vessel,Person ejected from vessel,NA,NA,OPERATOR 1 WAS STOPPED AND DRIFTING. OPERATOR 2 WAS OPERATING VESSEL 2 WHILE CRUISING ON PLANE. AS OPERATOR 1 WAS DRIFTING OPERATOR 2 OPERATED VESSEL 2 TO CLOSE TO VESSEL 1 AND THEY COLLIDED. OPERATOR 1 WAS EJECTED OFF OF VESSEL 1 AND SUSTAINED INJURIES. OPERATOR 2 AND THEIR PASSENGER WERE NOT INJURED. BOTH VESSEL SUSTAINED DAMAGE FROM THE COLLISION.,170359140,NA,NA,NA
